CODLINHA,NOMELINHA,CODVEICULO,NUMEROCARTAO,DATAUTILIZACAO,COMPLETENESS,CONSISTENCY,CONFORMITY
000,UBERLÂNDIA,,6930123J,2193-10-6 21:9:02,80,40,25
01,GRAMADOS,,5263318,,60,20,25
,J.MERCES/GUANABA,TI499,399103,17/09/12 00:07:05,80,20,75
ZR0,OPER S/LINHA,09069,2840830,,80,40,75
000,,WT253,,09/08/91 21:50:26,60,20,75
,,,,14/09/67 15:06:02,20,0,25
,OPER S/LINHA,5OW9072,1683729,31/03/86 22:00:58,80,20,50
67,SOLAR,BN406,,25/10/15 10:27:32,80,60,50
,OPER S/LINHA,BN406,,,40,40,25
212,OPER S/LINHA,03753,79955,,80,40,75
609,,TD312,3366349,1849-11-31 17:08:53,80,20,75
,OLARIA,,0007884y,2192-12-27 8:9:6,60,20,0
C7PS4,TUBO XAXIM,,926,08/08/78 23:09:04,80,20,50
711,ITATIAIA,,2104780,01/11/02 13:06:26,80,60,75
,ITATIAIA,94683,630,25/10/15 17:54:35,80,40,75
000,S.RITA/PINHEIRIN,,,25/10/15 15:57:21,60,60,50
,OP. CONTIGENCIA,,2943461,25/10/15 16:53:52,60,40,50
,,D4H589,,2544-06-29 21:58:44,40,0,0
,OPER S/LINHA,,10094466h,04/11/69 00:09:07,60,20,25
,,KB600,20680766x,,40,20,25
,OP. CONTIGENCIA,,,,20,20,0
KW,SABARÁ,,4312409B,,60,20,0
628,,HA008,,2576-11-9 13:44:09,60,40,50
000,INTERBAIRROS V,,3502648,2196-10-10 21:4:51,80,40,50
913,OPER S/LINHA,,3489851,,60,40,50
638,OPER S/LINHA,,7256093225,1334-10-09 00:31:00,80,40,50
000,,65313,,25/10/15 11:41:54,60,40,75
,,,2850761,2351-4-29 00:56:40,40,0,25
0G,OPER S/LINHA,,,25/10/15 06:58:26,60,40,25
000,OPER S/LINHA,,,1765-11-31 00:31:16,60,60,25
,OP. CONTIGENCIA,,383465,,40,20,25
OPC,,HA008,,14/06/44 00:53:07,60,40,75
,CARBOMAFRA,F7J5003,,,40,20,0
628,OPER S/LINHA,HA008,3435724,25/10/15 15:54:56,100,80,100
628,,RO435,9651m,1949-9-14 23:8:17,80,20,50
000,,3BL665,791971977,1158-9-21 11:7:24,80,20,50
,NIVALDO BRAGA,,,1882-12-21 17:55:05,40,20,0
,OPER S/LINHA,ZQ723,842407,15/11/04 00:07:07,80,20,75
000,OPER S/LINHA,YV773,3399395,,80,60,75
000,OPER S/LINHA,,,17/01/32 20:02:04,60,60,50
ME2I,OPER S/LINHA,,,2907-11-10 00:2:05,60,20,0
,,,,2276-11-24 12:36:12,20,0,0
,,,2306382,04/03/11 22:57:11,40,0,50
MH,,HB605,1115249,12/07/31 20:49:06,80,20,75
,OPER S/LINHA,02708,,25/10/15 17:48:36,60,40,50
,,,2777954,30/12/61 14:07:32,40,0,50
176,OPER S/LINHA,AN931,1934g,1950-12-1 15:29:14,100,40,50
TXA,,QC884U,,30/12/66 23:41:04,60,20,50
826,TUBO ST QUITERIA,,,,40,40,25
000,,,2592093,25/10/15 06:35:52,60,40,75
000,,,812346814,,40,20,50
,,AVT000L,153898593,1027-12-05 13:0:25,60,0,25
8,,09069,1880303,,60,20,50
,,FT935,8652394753439,06/11/09 05:46:01,60,0,50
,OPER S/LINHA,,,,20,20,0
,OPER S/LINHA,2BF810,1224116,2538-03-29 6:0:58,80,20,25
,INTERBAIRR II H,,,,20,20,0
000,OPER S/LINHA,00963,,08/02/44 22:07:08,80,60,75
,,05045,75587,,40,20,50
4R397,,62460,,,40,0,25
0C,,L29144,071553d,27/01/91 12:35:04,80,0,25
TPH,LINDÓIA,LM425,,30/01/80 22:09:04,80,40,75
000,,4SH154O,2K,2771-12-30 21:38:22,80,20,25
,,,,2922-04-28 20:05:08,20,0,0
ICC4G,,7B531,10678,,60,0,25
000,,RGL140,,1277-12-09 00:11:47,60,20,25
,SÃO JORGE,C1V627,10066626,25/11/29 18:33:06,80,20,50
,OPER S/LINHA,TW495,2598222,,60,20,50
662,V. RENO,GN603,2348888,,80,60,75
DJR6,,,3424175,1790-6-19 22:46:55,60,0,25
,S.RITA/PINHEIRIN,HA021,,,40,40,25
000,OPER S/LINHA,8R099,1872523,,80,60,50
AW43L,,,,25/10/15 18:47:27,40,20,25
000,OPER S/LINHA,,3548562,2407-11-31 14:8:52,80,60,50
,,03001,2166905,25/10/15 22:24:23,60,40,75
18,,38986P,,,40,0,0
,,03019,2660621,30/09/61 16:01:34,60,20,75
9,,,1970047,1940-2-3 00:7:47,60,0,25
H5O7,,24P4755,,,40,0,0
811,,,4,1571-12-30 0:02:3,60,20,50
24,OPER S/LINHA,,8055177D,,60,20,0
,OPER S/LINHA,,,09/03/42 00:03:01,40,20,25
000,OPER S/LINHA,,3547412,,60,60,50
1,OPER S/LINHA,,,11/03/27 00:00:04,60,20,25
,OPER S/LINHA,D172658,213,17/12/01 00:01:09,80,20,50
000,,,24157743091622,,40,20,25
821,,,1568G,25/10/15 22:30:23,60,40,50
ZSPD,OPER S/LINHA,F11340,,06/12/04 21:07:59,80,20,25
,OPER S/LINHA,QWJ721,,02/10/79 14:33:23,60,20,25
O59,SISTEMA ARAUCARIA,40370W,81438l,2775-10-31 00:30:8,100,20,25
000,,,,,20,20,25
,,,73295,1088-04-01 17:3:4,40,0,25
,OP. CONTIGENCIA,,3078596,,40,20,25
169,,BN628,3078596,,60,40,75
823,,5V001K,1523979800014C,30/10/90 17:05:32,80,20,50
030,OP. CONTIGENCIA,,3202170,,60,40,50
861,TRAMONTINA,,,1621-1-07 20:12:05,60,60,25
,OP. CONTIGENCIA,,3449503,,40,20,25
,,LC852,8373986636419,,40,20,25
,OPER S/LINHA,,18p,08/12/94 20:15:04,60,20,25
2O2,ABAETÉ,,,1176-11-31 11:02:40,60,20,25
000,,133581,236172512606j,2552-10-6 4:28:7,80,20,25
TB2,OPER S/LINHA,,3172239,,60,20,50
,JD. ITÁLIA,,3172239,01/02/32 06:06:05,60,20,50
5M68,OPER S/LINHA,467240,,25-10-15 4:38:55,80,40,0
040,OPER S/LINHA,87009,888395183j,02/09/94 00:04:00,100,40,75
,V. SANDRA,,,31/01/14 00:23:13,40,20,25
GJXG,,74954,,,40,0,25
D,INTERBAIRR II H,HB301,3557978,17/10/15 19:16:51,100,40,75
812,OPER S/LINHA,,1579150,25-10-15 04:04:7,80,60,50
000,,NF5708,0157923338,,60,20,50
,B.ALTO/BOA VISTA,HD071,3513825,25/10/15 11:18:17,80,40,75
522,OPER S/LINHA,,,,40,40,25
,,71660,2251513,25-10-15 8:09:14,60,20,50
,,CT226,,20/01/43 20:06:00,40,0,50
,POMPÉIA / JANAÍNA,,2710235,,40,20,25
646,,DU834,3524649,,60,20,75
S22,,TZ918,14,,60,0,75
,,78L027U,2459081,25/10/15 14:27:42,60,20,50
,BANES/CALIFÓRNIA,,,09/12/99 00:35:06,40,20,25
000,POMPÉIA / JANAÍNA,8S802,2062436,,80,40,50
885,,SXK4826,,25-10-15 15:51:04,60,20,25
,OPER S/LINHA,09044,,31/12/92 19:05:09,60,40,50
,OPER S/LINHA,RH602,606349104,25/10/15 16:45:59,80,40,75
685,JD. ITIBERÊ,UA266,10064527,25-10-15 00:9:1,100,60,75
474,OP. CONTIGENCIA,,,,40,40,25
000,PARIGOT DE SOUZA,03033,3704102120641H,25-10-15 13:11:5,100,80,50
000,,DQ456,,,40,20,50
,,03050,,,20,20,25
207,,HA293,8821267977,,60,40,75
,,HA293,,25/10/15 11:31:39,40,40,50
000,,00004,,30/11/05 14:06:08,60,40,75
,INTERBAIRROS IV,,,25-10-15 22:54:03,40,40,0
,,30014,,,20,0,25
,OPER S/LINHA,9W089D,4927548121106,25-10-15 11:01:4,80,40,0
000,OPER S/LINHA,,,,40,60,25
,FAZENDINH/PORTÃO,4M226,6,,60,20,25
000,OP. CONTIGENCIA,23434,3287696,,80,40,75
000,,AC937,9168916353718f,,60,40,50
000,,23602R,10007705,04/10/25 20:03:24,80,20,75
000,OP. CONTIGENCIA,76845,3406086,25/10/15 17:10:26,100,60,100
,,,1788324,25/10/15 07:42:00,40,20,50
541,S.RITA/PINHEIRIN,,2992716,25/10/15 11:28:26,80,60,75
,,,,,0,0,0
OPC,OPER S/LINHA,50239,3550884,,80,40,75
650,,,5,25-10-15 17:06:1,60,40,50
3,OPER S/LINHA,21122,,03/05/89 19:07:17,80,20,50
,OPER S/LINHA,,93684912837y,,40,20,0
777,V. VELHA,,,08/07/90 07:57:34,60,60,50
658,,,3545832,,40,20,50
,RIO BONITO,TZ136,0858425,25-10-15 8:07:01,80,40,50
,OPER S/LINHA,,1348595,,40,20,25
Z,RIO BONITO,8V516,5595t,25/10/15 15:56:28,100,40,25
000,,03048,06580378m,25/10/15 13:28:32,80,60,75
000,ABRANCHES,R0Y502,7l,09/08/93 21:04:04,100,40,50
,,,,25/10/15 13:14:52,20,20,25
,OPER S/LINHA,908234,2890009,25-10-15 12:09:32,80,40,25
000,,819076,2123341,,60,20,50
,,,55682114979,25/10/15 17:16:35,40,20,25
OPC,,42977H,,25/10/15 17:32:52,60,40,50
000,OPER S/LINHA,,24972485396K,,60,60,25
,,79416,2245521,,40,0,50
,,72555,,,20,0,25
226,ABAETÉ,BA118,3427040,25/10/15 11:03:15,100,100,100
050,JD. CENTAURO,08040,,25-10-15 20:41:18,80,80,50
8329,INTERBAIRROS III,KB600,2540100489,,80,40,50
,,E14503F,,25/10/15 04:53:23,40,20,25
92867,,HA291,,,40,20,25
OPC,,2KH760,,,40,20,25
000,OPER S/LINHA,,,25/10/15 12:24:07,60,80,50
5A,,03046,,,40,20,25
GQ,,62324,,25/10/15 09:30:29,60,20,50
685,OP. CONTIGENCIA,BN654,,,60,40,50
010,JD.PARANAENSE,31311,2633765,,80,40,75
532,,EA190,2995697,,60,40,75
,JD.PARANAENSE,EA190,,,40,40,25
,,24451,1426943,06/11/99 00:06:09,60,0,75
,,,,,0,0,0
,CABRAL / OSÓRIO,NN098,3327405,25-10-15 07:38:09,80,40,50
,NILO PEÇANHA,,4K,30/11/02 12:10:05,60,20,25
,RIO BONITO,,,25/10/15 16:01:12,40,40,25
,,,,25/10/15 17:36:46,20,20,25
000,,05062,,,40,40,50
000,OPER S/LINHA,08039,,25-10-15 23:56:02,80,100,50
,,UW438,2890009,,40,0,50
OPC,,08045,3414964,25-10-15 00:4:48,80,60,75
D,,94003,3331245,25-10-15 00:02:4,80,20,50
535,JD. ORDEM,,3506099,31/06/41 15:05:31,80,40,75
,,11213,7324783999,,40,0,50
OPC,,IB8258,,04/04/57 22:04:09,60,20,50
000,OPER S/LINHA,,5910274532,04/10/28 00:07:56,80,60,75
1971E,,,,,20,0,0
OPC,OP. CONTIGENCIA,,526765928444,,60,60,25
36,,SX670,60A,25-10-15 17:04:52,80,20,25
,ACRÓPOLE,32497,,14/07/03 00:36:00,60,20,50
,OP. CONTIGENCIA,,985852290129,25-10-15 10:02:04,60,40,0
,OPER S/LINHA,,946042,25-10-15 19:43:50,60,40,25
,,TM400,946042,25-10-15 00:51:31,60,20,50
6X776,,NU9151,2133007N,25-10-15 00:57:17,80,20,0
,OPER S/LINHA,,3356488,,40,20,25
380,,,45811220,27/12/67 16:36:56,60,20,75
9K8Z,DETRAN/V.MACHADO,,,,40,20,0
,,CC302,3361422,,40,20,50
,OSTERNACK/BOQ.,,3010895,,40,20,25
,PAINEIRAS,BT403,104576236969Y,25-10-15 00:07:16,80,40,25
,OPER S/LINHA,1C242,,25-10-15 07:38:31,60,40,0
,OPER S/LINHA,06061,3792341s,25/10/15 13:45:08,80,60,50
000,,V90003,8258582657863,,60,20,25
000,CAMARGO,06061,,,60,60,50
,OPER S/LINHA,28903,,25/10/15 18:35:21,60,40,50
,,LP406,,,20,0,25
,V. SUIÇA,72423,3092777,,60,20,50
,RIO BONITO,,,31/09/59 20:36:27,40,20,25
TSQ,SOLITUDE,06292,85415828690,25/10/15 17:12:25,100,60,75
000,,,,,20,20,25
,SISTEMA ARAUCARIA,55A408R,,,40,20,0
989,OPER S/LINHA,,,,40,40,25
000,JD. ITÁLIA,,,25-10-15 21:57:3,60,60,25
,,,0835180937185,,20,0,0
000,OPER S/LINHA,2164948,,25/10/15 18:17:07,80,80,50
C8,,4I054P,8,25/10/15 18:17:12,80,20,50
,,09066,016823155L,25/10/15 18:55:51,60,40,50
142I6,,09066,2609379,26/05/78 23:01:25,80,20,75
000,OPER S/LINHA,,3121738,,60,60,50
,OPER S/LINHA,6I166,3415798,,60,20,25
,UBERLÂNDIA,,,,20,20,0
615,,,3532471,,40,20,50
,UBERLÂNDIA,,3537982,25/03/81 00:01:06,60,20,50
531,VITÓRIA RÉGIA,3J826,,,60,40,25
H646,STA. INÊS,9IY472,3478873,25/10/15 11:28:29,100,40,50
265,AHÚ/LOS ANGELES,TS122X,,30/05/03 17:04:01,80,60,50
XWCY,AHÚ/LOS ANGELES,OJ302,,30/10/29 06:00:02,80,20,50
S3,,ZS624,3246051,30/04/32 20:10:09,80,0,75
,OPER S/LINHA,XD621,20,,60,20,50
,OPER S/LINHA,,25,25-10-15 12:05:06,60,40,25
,,U32949,,25-10-15 00:31:9,40,20,0
670,,95751,15008868,,60,20,75
U,INTERB II ANTI H,81970,8748u,,80,20,25
000,VITÓRIA RÉGIA,00056,,25-10-15 23:01:09,80,80,50
R54H,OPER S/LINHA,W2N5978,3630245W,,80,20,0
860,V. SANDRA,,,,40,60,25
,,OZ635,1401893,,40,0,50
K70H,,,,25-10-15 3:10:16,40,20,0
,SOLITUDE,,3349694,06/12/97 14:18:08,60,20,50
